Trading 212 Ticker,Actural Ticker,Instrament Name,Currency,Country,Industry,Sector
ALCC1_US_EQ,OKLO,Oklo,USD,US,Nuclear,Utilities
OMEX_US_EQ,OMEX,Odyssey Marine Exploration,USD,US,Deep Sea Mining,Metals & Mining
PBR_US_EQ,PBR,Petroleo Brasileiro,USD,BR,Oil & Gas,Energy
PCG_US_EQ,PCG,PG&E,USD,US,Domestic Energy,Utilities
PSX_US_EQ,PSX,Phillips 66,USD,US,Oil & Gas,Energy
QGRPl_EQ,QGRP,WisdomTree US Quality Growth,GBX,US,US,ETF
QQl_EQ,QQ,QinetiQ,GBX,GB,Defence,Defence
RHMd_EQ,RHM,Rheinmetall,EUR,DE,Defence,Defence
RIG_US_EQ,RIG,Transocean,USD,CH,Deep Sea Mining,Energy
RIOl_EQ,RIO,Rio Tinto,GBX,GB,Base Metals,Metals & Mining
RRl_EQ,RR,Rolls-Royce,GBX,US,Nuclear,Energy
SAFp_EQ,SAF,Safran,EUR,FR,Defence,Defence
SAUSm_EQ,SAUS,iShares MSCI Australia,EUR,AU,Broad,ETF
SDV1d_EQ,SDV,Saab,EUR,SE,Defence,Defence
SEMIl_EQ,SEMI,iShares MSCI Global Semiconductors,GBP,US,Semiconductors,Technology
SHELl_EQ,SHEL,Shell,GBX,GB,Oil & Gas,Energy
SMGBl_EQ,SMGB,VanEck Semiconductor,GBP,US,Semiconductors,Technology
SV_US_EQ,SMR,NuScale Power Corp,USD,US,Nuclear,Electrical Equipment
SPY4d_EQ,SPY,SPDR S&P 400 U.S. Mid Cap,EUR,US,US,ETF
TLNE_US_EQ,TLN,Talen Energy,USD,US,Domestic Energy,Utilities
SOAC_US_EQ,TMC,TMC The Metals Company,USD,CA,Deep Sea Mining,Metals & Mining
FPp_EQ,TTE,TotalEnergies,EUR,FR,Oil & Gas,Energy
UEC_US_EQ,UEC,Uranium Energy,USD,US,Nuclear,Energy
URNGl_EQ,URNG,Global X Uranium,GBP,US,Nuclear,Energy
URNPl_EQ,URNP,Sprott Uranium Miners,GBX,US,Nuclear,Metals & Mining
UUUU_US_EQ,UUUU,Energy Fuels,USD,US,Nuclear,Energy
VALE_US_EQ,VALE,Vale,USD,BR,Base Metals,Metals & Mining
VALTl_EQ,VALT,Valterra Platinum,USD,ZA,Platinum Group Metals,Metals & Mining
VAPXl_EQ,VAPX,Vanguard FTSE Developed Asia Pacific ex Japan,GBP,US,Broad,ETF
VEMTl_EQ,VEMT,Vanguard USD Emerging Markets Government Bond,GBP,US,Broad,ETF
VJPBl_EQ,VJPB,Vanguard FTSE Japan,GBP,US,Broad,ETF
VLO_US_EQ,VLO,Valero Energy,USD,US,Oil & Gas,Energy
VST_US_EQ,VST,Vistra,USD,US,Domestic Energy,Utilities
VWRLl_EQ,VWRL,Vanguard FTSE All-World,GBP,US,Broad,ETF
WBIOl_EQ,WBIO,Wisdomtree Biorevolution,GBX,US,Healthcare,Healthcare
WCOBl_EQ,WCOB,Wisdomtree Enhanced Commodity,GBX,US,Commodity,Commodity
WDEPl_EQ,WDEP,WisdomTree Europe Defence,GBX,US,Defence,Defence
WMGGl_EQ,WMGG,WisdomTree Megatrends,GBX,US,Broad,ETF
WREEl_EQ,WREE,Wisdomtree Strategic Metals and Rare Earths Miners,GBX,US,Base Metals & Plantinum Group Metals,Metals & Mining
WRENl_EQ,WREN,WisdomTree Renewable Energy,GBX,US,Renewable Energy,Energy
